"id","country_id:id","name","code","postal_code"
"state_co_505","base.co","TIPACOQUE / Boyacá","15810","151027"
"state_co_506","base.co","TOCA / Boyacá","15814","150267"
"state_co_507","base.co","TOGÜÍ / Boyacá","15816","154407"
"state_co_508","base.co","TÓPAGA / Boyacá","15820","152047"
"state_co_509","base.co","TOTA / Boyacá","15822","152447"
"state_co_510","base.co","TUNUNGUÁ / Boyacá","15832","154687"
"state_co_511","base.co","TURMEQUÉ / Boyacá","15835","153637"
"state_co_512","base.co","TUTA / Boyacá","15837","150408"
"state_co_513","base.co","TUTAZÁ / Boyacá","15839","150660"
"state_co_514","base.co","UMBITA / Boyacá","15842","153240"
"state_co_515","base.co","VENTAQUEMADA / Boyacá","15861","153647"
"state_co_516","base.co","VIRACACHÁ / Boyacá","15879","153450"
"state_co_517","base.co","ZETAQUIRA / Boyacá","15897","152680"
"state_co_518","base.co","MANIZALES / Caldas","17001","170003"
"state_co_519","base.co","AGUADAS / Caldas","17013","172027"
"state_co_520","base.co","ANSERMA / Caldas","17042","177087"
"state_co_521","base.co","ARANZAZU / Caldas","17050","171047"
"state_co_522","base.co","BELALCÁZAR / Caldas","17088","177007"
"state_co_523","base.co","CHINCHINÁ / Caldas","17174","176028"
"state_co_524","base.co","FILADELFIA / Caldas","17272","171020"
"state_co_525","base.co","LA DORADA / Caldas","17380","175037"
"state_co_526","base.co","LA MERCED / Caldas","17388","172060"
"state_co_527","base.co","MANZANARES / Caldas","17433","173020"
"state_co_528","base.co","MARMATO / Caldas","17442","178001"
"state_co_529","base.co","MARQUETALIA / Caldas","17444","173047"
"state_co_530","base.co","MARULANDA / Caldas","17446","173001"
"state_co_531","base.co","NEIRA / Caldas","17486","171008"
"state_co_532","base.co","NORCASIA / Caldas","17495","175001"
"state_co_533","base.co","PÁCORA / Caldas","17513","172048"
"state_co_534","base.co","PALESTINA / Caldas","17524","176048"
"state_co_535","base.co","PENSILVANIA / Caldas","17541","173060"
"state_co_536","base.co","RIOSUCIO / Caldas","17614","178047"
"state_co_537","base.co","RISARALDA / Caldas","17616","177060"
"state_co_538","base.co","SALAMINA / Caldas","17653","172001"
"state_co_539","base.co","SAMANÁ / Caldas","17662","174008"
"state_co_540","base.co","SAN JOSÉ / Caldas","17665","177040"
"state_co_541","base.co","SUPÍA / Caldas","17777","178020"
"state_co_542","base.co","VICTORIA / Caldas","17867","174037"
"state_co_543","base.co","VILLAMARÍA / Caldas","17873","176001"
"state_co_544","base.co","VITERBO / Caldas","17877","177020"
"state_co_545","base.co","FLORENCIA / Caquetá","18001","180017"
"state_co_546","base.co","ALBANIA / Caquetá","18029","186037"
"state_co_547","base.co","BELÉN DE LOS ANDAQUIES / Caquetá","18094","186017"
"state_co_548","base.co","CARTAGENA DEL CHAIRÁ / Caquetá","18150","183010"
"state_co_549","base.co","CURILLO / Caquetá","18205","186058"
"state_co_550","base.co","EL DONCELLO / Caquetá","18247","181017"
"state_co_551","base.co","EL PAUJIL / Caquetá","18256","181037"
"state_co_552","base.co","LA MONTAÑITA / Caquetá","18410","181059"
"state_co_553","base.co","MILÁN / Caquetá","18460","185037"
"state_co_554","base.co","MORELIA / Caquetá","18479","185017"
"state_co_555","base.co","PUERTO RICO / Caquetá","18592","182058"
"state_co_556","base.co","SAN JOSÉ DEL FRAGUA / Caquetá","18610","186077"
"state_co_557","base.co","SAN VICENTE DEL CAGUÁN / Caquetá","18753","182017"
"state_co_558","base.co","SOLANO / Caquetá","18756","184010"
"state_co_559","base.co","SOLITA / Caquetá","18785","185077"
"state_co_560","base.co","VALPARAÍSO / Caquetá","18860","185057"
"state_co_561","base.co","POPAYÁN / Cauca","19001","190009"
"state_co_562","base.co","ALMAGUER / Cauca","19022","194080"
"state_co_563","base.co","ARGELIA / Cauca","19050","195567"
"state_co_564","base.co","BALBOA / Cauca","19075","195539"
"state_co_565","base.co","BOLÍVAR / Cauca","19100","195008"
"state_co_566","base.co","BUENOS AIRES / Cauca","19110","191007"
"state_co_567","base.co","CAJIBÍO / Cauca","19130","190509"
"state_co_568","base.co","CALDONO / Cauca","19137","192048"
"state_co_569","base.co","CALOTO / Cauca","19142","191077"
"state_co_570","base.co","CORINTO / Cauca","19212","191568"
"state_co_571","base.co","EL TAMBO / Cauca","19256","193588"
"state_co_572","base.co","FLORENCIA / Cauca","19290","195040"
"state_co_573","base.co","GUAPI / Cauca","19318","196009"
"state_co_574","base.co","INZÁ / Cauca","19355","192547"
"state_co_575","base.co","JAMBALÓ / Cauca","19364","192027"
"state_co_576","base.co","LA SIERRA / Cauca","19392","194007"
"state_co_577","base.co","LA VEGA / Cauca","19397","194028"
"state_co_578","base.co","LÓPEZ / Cauca","19418","196060"
"state_co_579","base.co","MERCADERES / Cauca","19450","195067"
"state_co_580","base.co","MIRANDA / Cauca","19455","191528"
"state_co_581","base.co","MORALES / Cauca","19473","190567"
"state_co_582","base.co","PADILLA / Cauca","19513","191540"
"state_co_583","base.co","PAEZ / Cauca","19517","192508"
"state_co_584","base.co","PATÍA / Cauca","19532","195507"
"state_co_585","base.co","PIAMONTE / Cauca","19533","194558"
"state_co_586","base.co","PIENDAMÓ / Cauca","19548","190547"
"state_co_587","base.co","PUERTO TEJADA / Cauca","19573","191501"
"state_co_588","base.co","PURACÉ / Cauca","19585","193001"
"state_co_589","base.co","ROSAS / Cauca","19622","193550"
"state_co_590","base.co","SAN SEBASTIÁN / Cauca","19693","194508"
"state_co_591","base.co","SANTANDER DE QUILICHAO / Cauca","19698","191048"
"state_co_592","base.co","SANTA ROSA / Cauca","19701","194528"
"state_co_593","base.co","SILVIA / Cauca","19743","192077"
"state_co_594","base.co","SOTARA / Cauca","19760","193507"
"state_co_595","base.co","SUÁREZ / Cauca","19780","190589"
"state_co_596","base.co","SUCRE / Cauca","19785","194068"
"state_co_597","base.co","TIMBÍO / Cauca","19807","193537"
"state_co_598","base.co","TIMBIQUÍ / Cauca","19809","196038"
"state_co_599","base.co","TORIBIO / Cauca","19821","192008"
"state_co_600","base.co","TOTORÓ / Cauca","19824","192579"
"state_co_601","base.co","VILLA RICA / Cauca","19845","191067"
"state_co_602","base.co","VALLEDUPAR / Cesar","20001","200009"
"state_co_603","base.co","AGUACHICA / Cesar","20011","205010"
"state_co_604","base.co","AGUSTÍN CODAZZI / Cesar","20013","202050"
"state_co_605","base.co","ASTREA / Cesar","20032","201048"
"state_co_606","base.co","BECERRIL / Cesar","20045","203001"
"state_co_607","base.co","BOSCONIA / Cesar","20060","201027"
"state_co_608","base.co","CHIMICHAGUA / Cesar","20175","201057"
"state_co_609","base.co","CHIRIGUANÁ / Cesar","20178","203048"
